  72  183006  18.502  -270.   -24.    12.    7.4   5.40
  72  183022  18.506  -276.   -28.     4.    7.4   5.42
  72  183038  18.511  -279.   -21.     0.    7.6   5.44
  72  183054  18.515  -284.   -21.   -16.    6.9   5.41
  72  183110  18.520  -272.    -3.     8.    6.4   5.40
  72  183126  18.524  -274.     3.    -2.    5.9   5.41
  72  183142  18.529  -276.    10.   -13.    6.5   5.41
  72  183158  18.533  -265.   -18.    11.    7.4   5.44
  72  183214  18.537  -266.   -29.    10.    7.2   5.43
  72  183230  18.542  -284.   -24.     4.    7.0   5.43
  72  183246  18.546  -277.   -34.   -11.    6.9   5.42
  72  183302  18.551  -288.   -21.    -9.    7.6   5.42
  72  183318  18.555  -284.   -18.     5.    7.5   5.45
  72  183334  18.560  -252.   -35.   -14.    6.2   5.38
  72  183350  18.564  -257.   -32.   -16.    6.0   5.39
  72  183406  18.569  -290.   -13.   -11.    6.5   5.40
  72  183422  18.573  -266.   -19.    13.    6.6   5.42
  72  183438  18.577  -251.   -29.     8.    6.7   5.43
  72  183454  18.582  -274.   -32.   -14.    7.2   5.47
  72  183510  18.586  -280.   -36.    -9.    7.0   5.42
  72  183526  18.591  -286.   -22.    -7.    7.1   5.42
  72  183542  18.595  -264.   -30.    16.    6.8   5.42
  72  183558  18.600  -279.    -3.    -1.    6.8   5.42
  72  183614  18.604  -272.   -27.     7.    7.0   5.43
  72  183630  18.608  -273.     3.     7.    5.3   5.41
  72  183646  18.613  -277.   -14.    15.    6.9   5.41
  72  183702  18.617  -279.   -34.    -4.    7.5   5.42
  72  183718  18.622  -275.   -31.    -2.    7.3   5.44
  72  183734  18.626  -277.   -34.     5.    7.5   5.41
  72  183750  18.631  -266.   -36.    15.    6.5   5.39
  72  183806  18.635  -265.     5.   -23.    6.3   5.44
  72  183822  18.640  -284.   -20.   -25.    7.7   5.45
  72  183838  18.644  -277.     0.   -29.    6.2   5.44
  72  183854  18.649  -270.   -26.    19.    7.5   5.42
  72  183910  18.653  -234.   -22.    31.    7.5   5.42
  72  183926  18.657  -262.     5.   -14.    7.2   5.46
