00001  2007-09-30T18:29:18.500  273.7703530092  244449023.682349     10816.740184  2007-09-30T18:13:13.313  7166662747.006852       0.000000  8420752131.677700  8420752131.565642  -9.999999         0.112058  -999.9  -999999999.999999  -99999.999999  -999.9  -999.9  
00002  2007-09-30T18:29:19.500  273.7703645833  244449024.682349     10817.644402  2007-09-30T18:13:14.313  7166662747.006852       0.000000  8420752133.377500  8420752133.237528  -0.036742         0.139972  -999.9  -999999999.999999  -99999.999999  -999.9  -999.9  
00003  2007-09-30T18:29:20.500  273.7703761574  244449025.682349     10818.548450  2007-09-30T18:13:15.313  7166662747.006852       0.000000  8420752135.100300  8420752134.945187  -0.036737         0.155113  -999.9  -999999999.999999  -99999.999999  -999.9  -999.9  
00004  2007-09-30T18:29:21.500  273.7703877314  244449026.682349     10819.452328  2007-09-30T18:13:16.313  7166662747.006852       0.000000  8420752136.796900  8420752136.651874  -0.036732         0.145026  -999.9  -999999999.999999  -99999.999999  -999.9  -999.9  
00005  2007-09-30T18:29:22.500  273.7703993055  244449027.682349     10820.356036  2007-09-30T18:13:17.313  7166662747.006852       0.000000  8420752138.498100  8420752138.357587  -0.036728         0.140513  -999.9  -999999999.999999  -99999.999999  -999.9  -999.9  
00006  2007-09-30T18:29:23.500  273.7704108796  244449028.682349     10821.259573  2007-09-30T18:13:18.313  7166662747.006852       0.000000  8420752140.212000  8420752140.062329  -0.036723         0.149671  -999.9  -999999999.999999  -99999.999999  -999.9  -999.9  
00007  2007-09-30T18:29:24.500  273.7704224537  244449029.682349     10822.162940  2007-09-30T18:13:19.314  7166662747.006852       0.000000  8420752141.920400  8420752141.766099  -0.036718         0.154301  -999.9  -999999999.999999  -99999.999999  -999.9  -999.9  
00008  2007-09-30T18:29:25.500  273.7704340277  244449030.682349     10823.066137  2007-09-30T18:13:20.314  7166662747.006852       0.000000  8420752143.608800  8420752143.468898  -0.036713         0.139902  -999.9  -999999999.999999  -99999.999999  -999.9  -999.9  
00009  2007-09-30T18:29:26.500  273.7704456018  244449031.682349     10823.969163  2007-09-30T18:13:21.314  7166662747.006852       0.000000  8420752145.322400  8420752145.170725  -0.036708         0.151675  -999.9  -999999999.999999  -99999.999999  -999.9  -999.9  
00010  2007-09-30T18:29:27.500  273.7704571759  244449032.682349     10824.872020  2007-09-30T18:13:22.314  7166662747.006852       0.000000  8420752147.013800  8420752146.871582  -0.036704         0.142218  -999.9  -999999999.999999  -99999.999999  -999.9  -999.9  
00011  2007-09-30T18:29:28.500  273.7704687500  244449033.682349     10825.774706  2007-09-30T18:13:23.314  7166662747.006852       0.000000  8420752148.712600  8420752148.571468  -0.036699         0.141131  -999.9  -999999999.999999  -99999.999999  -999.9  -999.9  
00012  2007-09-30T18:29:29.500  273.7704803240  244449034.682349     10826.677222  2007-09-30T18:13:24.314  7166662747.006852       0.000000  8420752150.414100  8420752150.270386  -0.036694         0.143714  -999.9  -999999999.999999  -99999.999999  -999.9  -999.9  
00013  2007-09-30T18:29:30.500  273.7704918981  244449035.682349     10827.579568  2007-09-30T18:13:25.314  7166662747.006852       0.000000  8420752152.113900  8420752151.968333  -0.036689         0.145567  -999.9  -999999999.999999  -99999.999999  -999.9  -999.9  
00014  2007-09-30T18:29:31.500  273.7705034722  244449036.682349     10828.481744  2007-09-30T18:13:26.314  7166662747.006852       0.000000  8420752153.811100  8420752153.665312  -0.036684         0.145788  -999.9  -999999999.999999  -99999.999999  -999.9  -999.9  
00015  2007-09-30T18:29:32.500  273.7705150462  244449037.682349     10829.383749  2007-09-30T18:13:27.314  7166662747.006852       0.000000  8420752155.503500  8420752155.361320  -0.036680         0.142179  -999.9  -999999999.999999  -99999.999999  -999.9  -999.9  
00016  2007-09-30T18:29:33.500  273.7705266203  244449038.682349     10830.285585  2007-09-30T18:13:28.314  7166662747.006852       0.000000  8420752157.193300  8420752157.056362  -0.036675         0.136938  -999.9  -999999999.999999  -99999.999999  -999.9  -999.9  
00017  2007-09-30T18:29:34.500  273.7705381944  244449039.682349     10831.187250  2007-09-30T18:13:29.314  7166662747.006852       0.000000  8420752158.902300  8420752158.750435  -0.036670         0.151865  -999.9  -999999999.999999  -99999.999999  -999.9  -999.9  
00018  2007-09-30T18:29:35.500  273.7705497685  244449040.682349     10832.088745  2007-09-30T18:13:30.314  7166662747.006852       0.000000  8420752160.586600  8420752160.443540  -0.036665         0.143061  -999.9  -999999999.999999  -99999.999999  -999.9  -999.9  
00019  2007-09-30T18:29:36.500  273.7705613425  244449041.682349     10832.990070  2007-09-30T18:13:31.314  7166662747.006852       0.000000  8420752162.287100  8420752162.135676  -0.036661         0.151423  -999.9  -999999999.999999  -99999.999999  -999.9  -999.9  
00020  2007-09-30T18:29:37.500  273.7705729166  244449042.682349     10833.891225  2007-09-30T18:13:32.315  7166662747.006852       0.000000  8420752163.958600  8420752163.826848  -0.036656         0.131752  -999.9  -999999999.999999  -99999.999999  -999.9  -999.9  
00021  2007-09-30T18:29:38.500  273.7705844907  244449043.682349     10834.792210  2007-09-30T18:13:33.315  7166662747.006852       0.000000  8420752165.669700  8420752165.517053  -0.036651         0.152647  -999.9  -999999999.999999  -99999.999999  -999.9  -999.9  
00022  2007-09-30T18:29:39.500  273.7705960648  244449044.682349     10835.693025  2007-09-30T18:13:34.315  7166662747.006852       0.000000  8420752167.340600  8420752167.206291  -0.036646         0.134309  -999.9  -999999999.999999  -99999.999999  -999.9  -999.9  
